scheme,line_id_event_id,service_code,service_code_description,cf_fee_id_,description,billing_cycle,uom,recovery,product,rate_currency,rate,invoice_type,comment_or_actions,edit_table,2022_recovery
MC,2PN2201,A8,Anti-Money Laundering,AML ADMIN,AML ComplianceAnnual Admin,0,Fixed,TO REVIEW,ALL, USD ,300,Stand-Alone,,,Not in use
MC,2A8000V,A8,Anti-Money Laundering,AML ADMIN Adjust,IMPLM-PROJ,Annual,Fixed,TO REVIEW,ALL, USD ,-150,Stand-Alone,Adjustment of 2PN2201,,Scheme B~
MC,TAE49405NLD,AE,Acquirer Assessment,ACQ ADF,ACQ Acceptance Development Fee POS Netherland Dom,Quarterly,Per Tx (%) ,B,ACQ, EUR ,0.0001,Scheme,Coverred under2L32000&2L322000&2L32000S&2L32200S,SCHEME,Not in use
MC,TADMCMSCS,AE,Acquirer Assessment,ACQ VOL,Acq Debit MC and Maestro/Cirrus Volume Fee,0,Per Tx (%) ,A,ACQ&ATM, EUR ,0.0001,,,,Not in use
MC,2AE9091,AE,Acquirer Assessment,REPRT TRX Adjust,Acq Reported Transaction Fee Adjustment - Central Acq - Intra,Quarterly,Per Tx (PPT) ,A,ACQ, EUR ,-0.0008,Scheme,Adjustment of TAEINTRA2  - from previous or specified Quarter fee,SCHEME,Scheme A~
MC,TAEINTRA2,AE,Acquirer Assessment,REPRT TRX,Acq Reported Transaction Fee Dom&Intra,0,Per Tx (PPT) ,A,ACQ, EUR ,0.002,Scheme,,SCHEME,Scheme B~
MC,TAEINTER,AE,Acquirer Assessment,REPRT TRX,Acq Reported Transaction Fee Inter,0,Per Tx (PPT) ,A,ACQ, EUR ,0.102,Scheme,,SCHEME,Scheme B~
MC,TCC39675,AE,Acquirer Assessment,ACQ VOL,ACQ Volume,0,Vol Tier (%),A,ACQ, EUR ,0.0002,Scheme,,SCHEME,Scheme B~
MC,TCC39715,AE,Acquirer Assessment,MSI ACQ VOL,Acquirer Maestro/Cirrus Volume Fee Tier,Quarterly,Vol Tier (%),A,ACQ, EUR ,0.0003,Scheme,Coverred under TCC39675,SCHEME,Scheme B~
MC,2AE000S,AE,Acquirer Assessment,ACQ VOL Adjust,Adjustment for Service Code AE,Quarterly,Vol Tier (%),A,ACQ, EUR ,0.09,,Adjustment of TCC39675 - from previous or specified Quarter fee,SCHEME,Adj
MC,2AE9000,AE,Acquirer Assessment,ACQ ADF,Central Acquirer Acceptance Development Fee Germany,Quarterly,Per Tx (%) ,B,ACQ, EUR ,0.0002,Scheme,Manual TAE49405DEU,SCHEME,Scheme A~
MC,PQC9121,AE,Acquirer Assessment,REPRT TRX,Domestic Interchange Maestro Cash Transactions,Quarterly,Per Tx (PPT) ,A,ATM,,,Scheme,,SCHEME,Not in use
MC,PQC4121,AE,Acquirer Assessment,MSI ACQ VOL,Domestic Interchange Maestro Cash Volume,Quarterly,Vol Tier (%),A,ATM,, -   ,,,,Not in use
MC,PCB9121,AE,Acquirer Assessment,REPRT TRX,Domestic MasterCard Processed Cash Transactions,Quarterly,Per Tx (PPT) ,A,ATM,, -   ,Scheme,,SCHEME,Not in use
MC,PCD9121,AE,Acquirer Assessment,REPRT TRX,Domestic MasterCard Processed Cash Transactions,Quarterly,Per Tx (PPT) ,A,ATM,, -   ,Scheme,,SCHEME,Not in use
MC,PCB4120,AE,Acquirer Assessment,ACQ VOL,Domestic MasterCard Processed Cash Volume,Quarterly,Vol Tier (%),A,ATM,, -   ,,,,Not in use
MC,PCD4120,AE,Acquirer Assessment,ACQ VOL,Domestic MasterCard Processed Cash Volume,Quarterly,Vol Tier (%),A,ATM,, -   ,,,,Not in use
MC,PCB4130,AE,Acquirer Assessment,ACQ VOL,Domestic MasterCard Processed Credit Volume,Quarterly,Vol Tier (%),A,ACQ&ATM,, -   ,,,,Not in use
MC,PCD4130,AE,Acquirer Assessment,ACQ VOL,Domestic MasterCard Processed Credit Volume,Quarterly,Vol Tier (%),A,ACQ&ATM,, -   ,,,,Not in use
MC,PCB4111,AE,Acquirer Assessment,ACQ VOL,Domestic MasterCard Processed Purchase Volume,Quarterly,Vol Tier (%),A,ACQ,, -   ,,,,Not in use
MC,PCD4111,AE,Acquirer Assessment,ACQ VOL,Domestic MasterCard Processed Purchase Volume,Quarterly,Vol Tier (%),A,ACQ,, -   ,,,,Not in use
MC,PCB9220,AE,Acquirer Assessment,REPRT TRX,International MasterCard Processed Europe Cash Transactions,Quarterly,Per Tx (PPT) ,A,ATM,, -   ,Scheme,,SCHEME,Not in use
MC,PCD9220,AE,Acquirer Assessment,REPRT TRX,International MasterCard Processed Europe Cash Transactions,Quarterly,Per Tx (PPT) ,A,ATM,, -   ,Scheme,,SCHEME,Not in use
MC,PQC9221,AE,Acquirer Assessment,REPRT TRX,International MasterCard Processed Europe Cash Transactions,Quarterly,Per Tx (PPT) ,A,ATM,,,Scheme,,SCHEME,Not in use
MC,PCB4220,AE,Acquirer Assessment,ACQ VOL,International MasterCard Processed Europe Cash Volume,Quarterly,Vol Tier (%),A,ATM,, -   ,,,,Not in use
MC,PCD4220,AE,Acquirer Assessment,ACQ VOL,International MasterCard Processed Europe Cash Volume,Quarterly,Vol Tier (%),A,ATM,, -   ,,,,Not in use
MC,PQC4221,AE,Acquirer Assessment,ACQ VOL,International MasterCard Processed Europe Cash Volume,Quarterly,Vol Tier (%),A,ATM,, -   ,,,,Not in use
MC,PCB4230,AE,Acquirer Assessment,ACQ VOL,International Mastercard Processed Europe Credit Volume,Quarterly,Vol Tier (%),A,ACQ&ATM,, -   ,,,,Not in use
MC,PCD4230,AE,Acquirer Assessment,ACQ VOL,International Mastercard Processed Europe Credit Volume,Quarterly,Vol Tier (%),A,ACQ&ATM,, -   ,,,,Not in use
MC,PCB4211,AE,Acquirer Assessment,ACQ VOL,International MasterCard Processed Europe Purchase Volume,Quarterly,Vol Tier (%),A,ACQ,, -   ,,,,Not in use
MC,PCD4211,AE,Acquirer Assessment,ACQ VOL,International MasterCard Processed Europe Purchase Volume,Quarterly,Vol Tier (%),A,ACQ,, -   ,,,,Not in use
MC,PCB9360,AE,Acquirer Assessment,REPRT TRX,International MasterCard Processed Non-Europe Cash Transactions,Quarterly,Per Tx (PPT) ,A,ATM,, -   ,Scheme,,SCHEME,Not in use
MC,PCD9360,AE,Acquirer Assessment,REPRT TRX,International MasterCard Processed Non-Europe Cash Transactions,Quarterly,Per Tx (PPT) ,A,ATM,, -   ,Scheme,,SCHEME,Not in use
MC,PQC9361,AE,Acquirer Assessment,REPRT TRX,International MasterCard Processed Non-Europe Cash Transactions,Quarterly,Per Tx (PPT) ,A,ATM,,,Scheme,,SCHEME,Not in use
MC,PCB4360,AE,Acquirer Assessment,ACQ VOL,International MasterCard Processed Non-Europe Cash Volume,Quarterly,Vol Tier (%),A,ATM,, -   ,,,,Not in use
MC,PCD4360,AE,Acquirer Assessment,ACQ VOL,International MasterCard Processed Non-Europe Cash Volume,Quarterly,Vol Tier (%),A,ATM,, -   ,,,,Not in use
MC,PQC4361,AE,Acquirer Assessment,ACQ VOL,International MasterCard Processed Non-Europe Cash Volume,Quarterly,Vol Tier (%),A,ATM,, -   ,,,,Not in use
MC,PCB4370,AE,Acquirer Assessment,ACQ VOL,International Mastercard Processed Non-Europe Credit Volume,Quarterly,Vol Tier (%),A,ACQ&ATM,, -   ,,,,Not in use
MC,PCD4370,AE,Acquirer Assessment,ACQ VOL,International Mastercard Processed Non-Europe Credit Volume,Quarterly,Vol Tier (%),A,ACQ&ATM,, -   ,,,,Not in use
MC,PCB4351,AE,Acquirer Assessment,ACQ VOL,International MasterCard Processed Non-Europe Purchase Volume,Quarterly,Vol Tier (%),A,ACQ,, -   ,,,,Not in use
MC,PCD4351,AE,Acquirer Assessment,ACQ VOL,International MasterCard Processed Non-Europe Purchase Volume,Quarterly,Vol Tier (%),A,ACQ,, -   ,,,,Not in use
MC,TAE4940MMVF,AE,Acquirer Assessment,MIN VOL,MasterCard  Acquring Purchase and Cash Minimum Volume Tier,0,Vol Tier (%),A,ACQ, EUR ,0,Scheme,,SCHEME,Scheme B~
MC,PAE49403MCC,AE,Acquirer Assessment,MIN VOL,MasterCard Acquirer Domestic Purchase and Cash Minimum Volume,Quarterly,Vol Tier (%),A,ACQ&ATM,, -   ,,,,Not in use
MC,PAE49402MCC,AE,Acquirer Assessment,MIN VOL,MasterCard Acquirer Inter-regional Purchase and Cash Minimum Volume,Quarterly,Vol Tier (%),A,ACQ&ATM,, -   ,,,,Not in use
MC,PAE49401MCC,AE,Acquirer Assessment,MIN VOL,MasterCard Acquirer Intra-regional Purchase and Cash Minimum Volume,Quarterly,Vol Tier (%),A,ACQ&ATM,, -   ,,,,Not in use
MC,2AE9093,AE,Acquirer Assessment,REPRT TRX Adjust,MSI Reported Transaction Fee Adjustment - Central Acq - Dom,Quarterly,Per Tx (PPT) ,A,ACQ, EUR ,-0.002,Scheme,Adjustment of TAEINTRA2  - from previous or specified Quarter fee,SCHEME,Not in use
MC,2AE9095,AE,Acquirer Assessment,REPRT TRX Adjust,MSI Reported Transaction Fee Adjustment - Central Acq - Inter,Quarterly,Per Tx (PPT) ,A,ACQ, EUR ,0.0236,Scheme,Adjustment of TAEINTER  - from previous or specified Quarter fee,SCHEME,Not in use
MC,2AE9094,AE,Acquirer Assessment,REPRT TRX Adjust,MSI Reported Transaction Fee Adjustment - Central Acq - Intra,Quarterly,Per Tx (PPT) ,A,ACQ, EUR ,-0.002,Scheme,Adjustment of TAEINTRA2  - from previous or specified Quarter fee,SCHEME,Not in use
MC,2AE9007,AE,Acquirer Assessment,ACQ VOL Adjust,MSI Volume Fee Adjustment - Central Acq - Dom Purchase,Quarterly,Vol Tier (%),A,ACQ, EUR ,0.0001,Scheme,Adjustment of TCC39675 - from previous or specified Quarter fee,SCHEME,Not in use
MC,2AE9011,AE,Acquirer Assessment,ACQ VOL Adjust,MSI Volume Fee Adjustment - Central Acq - Inter Purchase,Quarterly,Vol Tier (%),A,ACQ, EUR ,0.0002,Scheme,Adjustment of TCC39675 - from previous or specified Quarter fee,SCHEME,Not in use
MC,2AE9009,AE,Acquirer Assessment,ACQ VOL Adjust,MSI Volume Fee Adjustment - Central Acq - Intra Purchase,Quarterly,Vol Tier (%),A,ACQ, EUR ,0.0001,Scheme,Adjustment of TCC39675 - from previous or specified Quarter fee,SCHEME,Not in use
MC,2AE9090,AE,Acquirer Assessment,REPRT TRX Adjust,Reported Transaction Fee Adjustment - Central Acq - Dom,Quarterly,Per Tx (PPT) ,A,ACQ, EUR ,-0.0008,Scheme,Adjustment of TAEINTER  - from previous or specified Quarter fee,SCHEME,Not in use
MC,2AE9092,AE,Acquirer Assessment,REPRT TRX Adjust,Reported Transaction Fee Adjustment - Central Acq - Inter,Quarterly,Per Tx (PPT) ,A,ACQ, EUR ,-0.02,Scheme,Adjustment of TAEINTRA2  - from previous or specified Quarter fee,SCHEME,Not in use
MC,2AE9001,AE,Acquirer Assessment,ACQ VOL Adjust,Volume Fee Adjustment - Central Acq - Dom POS,Quarterly,Vol Tier (%),A,ACQ, EUR ,-0.0003,Scheme,Adjustment of TCC39675 - from previous or specified Quarter fee,SCHEME,Not in use
MC,2AE9005,AE,Acquirer Assessment,ACQ VOL Adjust,Volume Fee Adjustment - Central Acq - Inter POS,Quarterly,Vol Tier (%),A,ACQ, EUR ,-0.0001,Scheme,Adjustment of TCC39675 - from previous or specified Quarter fee,SCHEME,Not in use
MC,2AE9003,AE,Acquirer Assessment,ACQ VOL Adjust,Volume Fee Adjustment - Central Acq - intra POS,Quarterly,Vol Tier (%),A,ACQ, EUR ,-0.0001,Scheme,Adjustment of TCC39675 - from previous or specified Quarter fee,SCHEME,Not in use
MC,2BK0013,BK,Software,AUTH SIMULATOR,Authorization Simulator Professional Maintenance,0,Fixed,PrincipalOther,ALL, EUR ,345,Stand-Alone,,SCHEME,Scheme A~
MC,2BK0033,BK,Software,DB PROF MAINTNCE,Debit Professional Maintenance,0,Fixed,PrincipalOther,ALL, EUR ,345,Stand-Alone,,SCHEME,Scheme B
MC,2BK0022,BK,Software,CLEAR SIMULATOR,Mastercard Clearing Presentment Simulator Maintenance Fee,0,Fixed,PrincipalOther,ACQ, EUR ,210,Stand-Alone,,SCHEME,Scheme B
MC,TBU6609,BU,Automated Billing Updater,ABU Update trx,ABU ACQ API Update,Monthly,Per Tx (PPT) ,Pass-through ABU,ACQ, EUR ,0.125,Stand-Alone,Manually calculated and invoice by Solomon - no action from Scheme Invoice Analysis,,Scheme A~
MC,2BU6501,BU,Automated Billing Updater,ABU ENROL,Account updater per enrolment manual,Ad Hoc,Fixed,TO REVIEW,ACQ, EUR ,350,Stand-Alone,Registration Fee:  review with Jay if we agreed to cover this cost or passthrough,,Scheme A~
MC,TBU6600,BU,Automated Billing Updater,ABU ISS Record,BU  - ABU Issuer Record Fee,0,Q,B,ISS, EUR , -   ,,,,Scheme B~
MC,2CR000S,CR,Issuer Call Referral,ISS CallRefr ,CR ISS CallRefr - Adjustment for Service Code CR,Weekly,Q,B,ISS, EUR ,2.5,,,,Not in use
MC,2CR2032,CR,Issuer Call Referral,ISS CallRefr ,CR ISS CallRefr - Member Issued Call Referral,0,Q,B,ISS, EUR ,2.5,,,,Scheme B~
MC,2DL1501,DL,Issuer Cross Border,ISS CRSS-BORD,DL ISS CRX-BORD - Iss Cross Border Mastercard ATM Intra & Inter - GBR,0,Per Tx (%) ,B,ISS, EUR ,0.0008,,,,Scheme B~
MC,2DL1500,DL,Issuer Cross Border,ISS CRSS-BORD,DL ISS CRX-BORD - Iss Cross Border Mastercard POS Intra & Inter - GBR/DEU/NLD,0,Per Tx (%) ,B,ISS, EUR ,0.0008,,,,Scheme B~
MC,2DN1001,DN,Acquirer Cross Border,CRSS-BORD,Acq Cross Border Maestro/Cirrus ATM Intra & Inter -GBR & IRL,0,Per Tx (%) ,A,ATM, EUR ,0.0005,,,,Scheme B~
MC,2DN1401,DN,Acquirer Cross Border,CRSS-BORD,Acq Cross Border Maestro/Cirrus ATM Intra & Inter -GBR & IRL,0,Per Tx (%) ,A,ATM, EUR ,0.0005,,,,Scheme B~
MC,2DN1501,DN,Acquirer Cross Border,CRSS-BORD,Acq Cross Border Mastercard ATM Intra & Inter -GBR & IRL,0,Per Tx (%) ,A,ATM, EUR ,0.0005,,,,Scheme B~
MC,2DN1801,DN,Acquirer Cross Border,CRSS-BORD,Acq Cross Border Mastercard ATM Intra & Inter -GBR & IRL,0,Per Tx (%) ,A,ATM, EUR ,0.0005,,,,Scheme B~
MC,2DN2500,DN,Acquirer Cross Border,CRSS-BORD,CRSS-BORD POS Debit Intra&Inter,Weekly,Per Tx (%) ,A,ACQ, EUR ,0.001,Scheme,Coverred under 2DN1500 & 2DN1800,SCHEME,Scheme B~
MC,2DN2800,DN,Acquirer Cross Border,CRSS-BORD,CRSS-BORD POS Debit Intra&Inter,Weekly,Per Tx (%) ,A,ACQ, EUR ,0.001,Scheme,Coverred under 2DN1500 & 2DN1800,SCHEME,Scheme A~
MC,2DN1800,DN,Acquirer Cross Border,CRSS-BORD,CRSS-BORD POS Inter,0,Per Tx (%) ,A,ACQ, EUR ,0.0006,Scheme,,SCHEME,Scheme A~
MC,2DN1500,DN,Acquirer Cross Border,CRSS-BORD,CRSS-BORD POS Intra,0,Per Tx (%) ,A,ACQ, EUR ,0.0008,Scheme,,SCHEME,Scheme A~
MC,2DN1000,DN,Acquirer Cross Border,CRSS-BORD,CRSS-BORD POS Maestro Intra&Inter,Weekly,Per Tx (%) ,A,ACQ, EUR ,0.0008,Scheme,Coverred under 2DN1500 & 2DN1800,SCHEME,Scheme A~
MC,2DN1400,DN,Acquirer Cross Border,CRSS-BORD,CRSS-BORD POS Maestro Intra&Inter,Weekly,Per Tx (%) ,A,ACQ, EUR ,0.0005,Scheme,Coverred under 2DN1500 & 2DN1800,SCHEME,Scheme A~
MC,2EL45141HF,E0,Clearing - Acquirer,CHB ADMIN ARB,Acquirer Arbitration Chargeback Dispute Administration Fee,Ad Hoc,Fixed,Non-Sale,ACQ, EUR ,45,Stand-Alone,Chargeback related,NON_SALE_FEES,Not in use
MC,2EL45141RHF,E0,Clearing - Acquirer,CHB ADMIN ARB REV,Acquirer Arbitration Chargeback Dispute Administration Fee Reversal,Ad Hoc,Fixed,Non-Sale,ACQ, EUR ,-45,Stand-Alone,Chargeback related,NON_SALE_FEES,Not in use
MC,2EL45031HF,E0,Clearing - Acquirer,CHB ADMIN,Acquirer Chargeback Dispute Administration Fee,Weekly,Fixed,Non-Sale,ACQ, EUR ,15,Stand-Alone,Chargeback related,NON_SALE_FEES,Non Sales
MC,2EL45031RHF,E0,Clearing - Acquirer,CHB ADMIN REV,Acquirer Chargeback Dispute Administration Fee Reversal,Weekly,Fixed,Non-Sale,ACQ, EUR ,-15,Stand-Alone,Chargeback related,NON_SALE_FEES,Non Sales
MC,2EL12401HF,E0,Clearing - Acquirer,CHB-RRSNT ADMIN Fee,Acquirer Second Presentment Administration Fee,Weekly,Fixed,Non-Sale,ACQ, EUR ,-30,Stand-Alone,Chargeback related,NON_SALE_FEES,Non Sales
MC,2EL12401RHF,E0,Clearing - Acquirer,CHB-RRSNT ADMIN RVS Fee,Acquirer Second Presentment Administration Fee Reversal,Ad Hoc,Q,Non-Sale,ACQ&ATM, EUR ,30,,Chargeback related,,Scheme B~
MC,2EL12401PF,E0,Clearing - Acquirer,CHB-RRSNT Proc Fee,Acquirer Second Presentment Administration Processing Fee,Weekly,Fixed,Non-Sale,ACQ, EUR ,0.9,Stand-Alone,Chargeback related,NON_SALE_FEES,Non Sales
MC,2EL45032HF,E1,Clearing - Issuer,CLR ISS CHB Admin,E1 CLR-ISS - Issuer Chargeback Dispute Administration Fee,Ad Hoc,Q,B,ISS, EUR ,-15,,Dispute Fee to pass on to merchant: Contact Gosian in Dispute team for Merchant ID with Case ID in invoice,,Not in use
MC,2EL45032PF,E1,Clearing - Issuer,CLR ISS CHB Admin Procs,E1 CLR-ISS - Issuer Chargeback Dispute Administration Processing Fee,Ad Hoc,Q,B,ISS, EUR ,0.9,,Dispute Fee to pass on to merchant: Contact Gosian in Dispute team for Merchant ID with Case ID in invoice,,Not in use
MC,2EL12402HF,E1,Clearing - Issuer,CLR ISS 2ND Presmt Admin,E1 CLR-ISS - Issuer Second Presentment Administration Fee,Ad Hoc,Q,B,ISS, EUR ,30,,Chargeback related,,Not in use
MC,2EL60021,E2,Clearing Acquirer MasterCard POS,CLEARING UNIQ,"Clearing fee for Unique trx (Money transfer, Quasi cash, Gambling etc- Not sure within scope)",Weekly,Vol Tier (PPT),EXCLUDED,ACQ, EUR ,0.05,Switching,Specific fees not in Cost Matrix - currently low cost,,Not in use
MC,2EL60031,E2,Clearing Acquirer MasterCard POS,CLEARING RFN,CLEARING RFN,0,Per Tx (PPT) ,A,ACQ, EUR ,0.05,Switching,,SCHEME,Scheme A~
MC,2EL60032,E3,Clearing Issuer MasterCard POS,CLR ISS,E3 CLR-ISS - Clearing Dom/Intra/Inter  MasterCard Issuer - Credit/Refund,0,Q,B,ISS, EUR ,0.05,,,,Not in use
MC,2EL60022,E3,Clearing Issuer MasterCard POS,CLR ISS,E3 CLR-ISS - Clearing Dom/Intra/Inter MasterCard Issuer POS - Unique Transaction,Weekly,Q,B,ISS, EUR ,0.05,,,,Not in use
MC,2EA2291,E8,Authorization MasterCard ATM,AUTHOR - ATM PIN Change,Authorization Intra-Europe ATM PIN Change MasterCard,Weekly,Q,B,ISS, EUR ,0.025,,,,Not in use
MC,2E8000P,E8,Authorization MasterCard ATM,AUTHOR - Adjust,E8 Auth - Adjustment for Service Code E8,Weekly,Q,A,ISS, EUR ,0.025,,,,Not in use
MC,2EA1531,E8,Authorization MasterCard ATM,AUTHOR - Advise,E8 Auth - Authorization Advise Dom/Intra/Inter  MasterCard,Weekly,Q,B,ISS, EUR ,0.025,,,,Not in use
MC,2EA2241,E8,Authorization MasterCard ATM,AUTHOR - Decline,E8 Auth - Authorization Declined Dom/Intra/Inter MasterCard,0,Q,B,ISS, EUR ,0.025,,,,Scheme B~
MC,2EA2251,E8,Authorization MasterCard ATM,AUTHOR - ATM Balance,E8 Auth - Authorization Dom/Intra/Inter ATM Balance Inquiry MasterCard,Weekly,Q,B,ISS, EUR ,0.025,,,,Not in use
MC,2EA1741,EA,Authorization Maestro / Cirrus POS,ACCHOLD AUTH VAL,EA Auth - Account Holder Authentication Value,0,Per Tx (PPT) ,B,ALL, EUR ,0.01,,,,Scheme B~
MC,TEAT589R,EA,Authorization Maestro / Cirrus POS,AUTHOR ATM Macro,EA Auth - Auth Domestic and Intra ATM Macro Tier,Weekly,Per Tx (PPT) ,A,ALL, EUR ,0.0045,,,,Not in use
MC,TEAT589S,EA,Authorization Maestro / Cirrus POS,AUTHOR ATM Max,EA Auth - Auth Domestic and Intra ATM Max Tier,Weekly,Per Tx (PPT) ,A,ALL, EUR ,0.0045,,,,Not in use
MC,TEAT589P,EA,Authorization Maestro / Cirrus POS,AUTHOR ATM Micro,EA Auth - Auth Domestic and Intra ATM Micro Tier,Weekly,Per Tx (PPT) ,A,ALL, EUR ,0.0045,,,,Not in use
MC,TEAT589Q,EA,Authorization Maestro / Cirrus POS,AUTHOR ATM Mid,EA Auth - Auth Domestic and Intra ATM Mid Tier,Weekly,Per Tx (PPT) ,A,ALL, EUR ,0.0045,,,,Not in use
MC,TEAT579R,EA,Authorization Maestro / Cirrus POS,AUTHOR Macro,EA Auth - Auth Domestic and Intra POS Macro Tier,Weekly,Per Tx (PPT) ,A,ALL, EUR ,0.0085,,,,Not in use
MC,TEAT579S,EA,Authorization Maestro / Cirrus POS,AUTHOR Max,EA Auth - Auth Domestic and Intra POS Max Tier,Weekly,Per Tx (PPT) ,A,ALL, EUR ,0.03,,,,Not in use
MC,TEAT579P,EA,Authorization Maestro / Cirrus POS,AUTHOR Micro,EA Auth - Auth Domestic and Intra POS Micro Tier,Weekly,Per Tx (PPT) ,A,ALL, EUR ,0.0005,,,,Not in use
MC,TEAT579Q,EA,Authorization Maestro / Cirrus POS,AUTHOR Mid,EA Auth - Auth Domestic and Intra POS Mid Tier,Weekly,Per Tx (PPT) ,A,ALL, EUR ,0.0023,,,,Not in use
MC,TEAT599CR,EA,Authorization Maestro / Cirrus POS,AUTHOR Macro,EA Auth - Auth Domestic and Intra POS/ATM Macro Tier,0,Per Tx (PPT) ,A,ALL, EUR ,0.0149,,,,Scheme B~
MC,TEAT599CS,EA,Authorization Maestro / Cirrus POS,AUTHOR Max,EA Auth - Auth Domestic and Intra POS/ATM Max Tier,0,Per Tx (PPT) ,A,ALL, EUR ,0.0242,,,,Scheme B~
MC,TEAT599CP,EA,Authorization Maestro / Cirrus POS,AUTHOR Micro,EA Auth - Auth Domestic and Intra POS/ATM Micro Tier,0,Per Tx (PPT) ,A,ALL, EUR ,0.005,,,,Scheme B~
MC,TEAT569CP,EA,Authorization Maestro / Cirrus POS,AUTHOR Micro,EA Auth - Auth Domestic and Intra POS/ATM Micro Tier,Weekly,Per Tx (PPT) ,A,ALL, EUR ,0.0011,,,,Not in use
MC,TEAT599CQ,EA,Authorization Maestro / Cirrus POS,AUTHOR Mid,EA Auth - Auth Domestic and Intra POS/ATM Mid Tier,0,Per Tx (PPT) ,A,ALL, EUR ,0.0069,,,,Scheme B~
MC,TEAT7695,EA,Authorization Maestro / Cirrus POS,AUTHOR,EA Auth - Auth Inter-Regional Maestro/Cirrus/DMC POS / ATM Tier,Weekly,Per Tx (PPT) ,A,ALL, EUR ,0.008,,,,Not in use
MC,TEAT7995,EA,Authorization Maestro / Cirrus POS,AUTHOR,EA Auth - Auth Inter-Regional POS / ATM Tier,0,Per Tx (PPT) ,A,ALL, EUR ,0.005,,,,Scheme B~
MC,TEAT569CR,EA,Authorization Maestro / Cirrus POS,AUTHOR MSI,EA Auth - Auth Intra Maestro/Cirrus/DMC POS/ATM Macro Tier,0,Per Tx (PPT) ,A,ALL, EUR ,0.0075,,,,Not in use
MC,TEAT569CS,EA,Authorization Maestro / Cirrus POS,AUTHOR MSI,EA Auth - Auth Intra Maestro/Cirrus/DMC POS/ATM Max Tier,0,Per Tx (PPT) ,A,ALL, EUR ,0.0105,,,,Not in use
MC,TEAT569CQ,EA,Authorization Maestro / Cirrus POS,AUTHOR MSI,EA Auth - Auth Intra Maestro/Cirrus/DMC POS/ATM Mid Tier,0,Per Tx (PPT) ,A,ALL, EUR ,0.0053,,,,Scheme B~
