scheme,line_id_event_id,service_code,service_code_description,cf_fee_id_,description,billing_cycle,uom,recovery,product,rate_currency,rate,invoice_type,comment_or_actions,edit_table,2022_recovery
MC,TEAT519CR,EA,Authorization Maestro / Cirrus POS,AUTHOR,EA Auth - Auth Intra MasterCard POS/ATM Macro Tier,Weekly,Per Tx (PPT) ,A,ALL, EUR ,0.0045,,,,Not in use
MC,TEAT519CS,EA,Authorization Maestro / Cirrus POS,AUTHOR,EA Auth - Auth Intra MasterCard POS/ATM Max Tier,Weekly,Per Tx (PPT) ,A,ALL, EUR ,0.0075,,,,Not in use
MC,TEAT519CP,EA,Authorization Maestro / Cirrus POS,AUTHOR,EA Auth - Auth Intra MasterCard POS/ATM Micro Tier,Weekly,Per Tx (PPT) ,A,ALL, EUR ,0.0005,,,,Not in use
MC,TEAT519CQ,EA,Authorization Maestro / Cirrus POS,AUTHOR,EA Auth - Auth Intra MasterCard POS/ATM Mid Tier,Weekly,Per Tx (PPT) ,A,ALL, EUR ,0.0025,,,,Not in use
MC,TEA5012,EA,Authorization Maestro / Cirrus POS,AUTH CALL-REFR,EA Auth - Authorization Call Referral Non-Compliance,0,Per Tx (PPT) ,B,ALL, EUR ,5.25,,,,Not in use
MC,2EA2488,EA,Authorization Maestro / Cirrus POS,ECOM FRD ALERT ISS,EA Auth - eCommerce Fraud Alert for Issuers - Issuer Fee,Weekly,Per Tx (PPT) ,B,ISS, EUR ,0.04,,,,Not in use
MC,2WA1905,EA,Authorization Maestro / Cirrus POS,STND-IN TRX FEE,EA Auth - Stand-In Transaction Fee,0,Per Tx (PPT) ,B,ISS, EUR ,0.15,,,,Scheme B~
MC,2GC1035,EE,Clearing Acquirer MasterCard ATM,ATM-PROG SUPPORT,ATM Program Support Fee MasterCard Domestic,0,Q,B,ATM, EUR ,0.12,,,,Scheme B~
MC,2GC1033,EE,Clearing Acquirer MasterCard ATM,ATM-PROG SUPPORT,ATM Program Support Fee MasterCard Intra,0,Q,B,ATM, EUR ,0.2,,,,Scheme B~
MC,2EL60012,EF,Clearing Issuer MasterCard ATM,CLR ISS,EF CLR-ISS - Clearing Inter-Regional MasterCard Issuer ATM - Manual Cash,Weekly,Q,B,ISS, EUR ,0.2,,,,Not in use
MC,2GC1034,EK,Clearing Acquirer Maestro/Cirrus ATM,ATM-PROG SUPPORT,ATM Program Support Fee Maestro/Cirrus Domestic,0,Q,B,ATM, EUR ,0.2,,,,Scheme B~
MC,2GC1034WVR,EK,Clearing Acquirer Maestro/Cirrus ATM,ATM-PROG SUPPORT,ATM Program Support Fee Maestro/Cirrus Domestic Waiver,0,Q,B,ATM, EUR ,-0.2,,,,Scheme B~
MC,2GC1032,EK,Clearing Acquirer Maestro/Cirrus ATM,ATM-PROG SUPPORT,ATM Program Support Fee Maestro/Cirrus Intra,0,Q,B,ATM, EUR ,0.2,,,,Scheme B~
MC,TELMCC145R,ET,Clearing - Acquirer,CLEARING CR,Clearing Acq Credit  Dom&Intra Macro - CY/MT,Weekly,Vol Tier (PPT),A,ACQ, EUR ,0.0052,Switching,Coverred under TEL00145CR,SCHEME,Scheme A~
MC,TELMCC145S,ET,Clearing - Acquirer,CLEARING CR,Clearing Acq Credit  Dom&Intra Max - CY/MT,Weekly,Vol Tier (PPT),A,ACQ, EUR ,0.0083,Switching,Coverred under TEL00145CS,SCHEME,Scheme A~
MC,TELMCC145P,ET,Clearing - Acquirer,CLEARING CR,Clearing Acq Credit  Dom&Intra Micro - CY/MT,Weekly,Vol Tier (PPT),A,ACQ, EUR ,0.0017,Switching,Coverred under TEL00145CP,SCHEME,Scheme A~
MC,TELMCC145Q,ET,Clearing - Acquirer,CLEARING CR,Clearing Acq Credit  Dom&Intra Mid - CY/MT,Weekly,Vol Tier (PPT),A,ACQ, EUR ,0.0034,Switching,Coverred under TEL00145CQ,SCHEME,Scheme A~
MC,TELMCC145H,ET,Clearing - Acquirer,CLEARING CR,Clearing Acq Credit  Inter - CY/MT,Weekly,Per Tx (PPT) ,A,ACQ, EUR ,0.006,Switching,Coverred under TEL00125,SCHEME,Scheme A~
MC,TELCMD145H,ET,Clearing - Acquirer,CLEARING DB,Clearing Acq Debit Mastercard/Maestro/Cirrus Inter - CY/MT,Weekly,Per Tx (PPT) ,A,ACQ, EUR ,0.006,Switching,Coverred under TEL00125,SCHEME,Scheme A~
MC,TELCMD145CQ,ET,Clearing - Acquirer,CLEARING DB,Clearing Acq Debit Mastercard/Maestro/Cirrus Intra Mid Tier GREECE,0,Q,A,ACQ&ATM, EUR ,0.004,,,,Scheme A~
MC,TELCMD145R,ET,Clearing - Acquirer,CLEARING DB,Clearing Acq Debit Mastercard/Maestro/Cirrus Macro Intra - CY/MT,Weekly,Vol Tier (PPT),A,ACQ, EUR ,0.003,Switching,Coverred under TEL00145CR,SCHEME,Scheme A~
MC,TELCMD145S,ET,Clearing - Acquirer,CLEARING DB,Clearing Acq Debit Mastercard/Maestro/Cirrus Max Intra - CY/MT,Weekly,Vol Tier (PPT),A,ACQ, EUR ,0.0048,Switching,Coverred under TEL00145CS,SCHEME,Scheme A~
MC,TELCMD145P,ET,Clearing - Acquirer,CLEARING DB,Clearing Acq Debit Mastercard/Maestro/Cirrus Micro Intra - CY/MT,Weekly,Vol Tier (PPT),A,ACQ, EUR ,0.0009,Switching,Coverred under TEL00145CP,SCHEME,Scheme A~
MC,TELCMD145Q,ET,Clearing - Acquirer,CLEARING DB,Clearing Acq Debit Mastercard/Maestro/Cirrus Mid Intra - CY/MT,Weekly,Vol Tier (PPT),A,ACQ, EUR ,0.002,Switching,Coverred under TEL00145CQ,SCHEME,Scheme A~
MC,TEL0P1457R,ET,Clearing - Acquirer,CLEARING,Clearing Acq Dom&Intra Macro  BG/CZ/HU/PL,Weekly,Vol Tier (PPT),A,ACQ, EUR ,0.005,Switching,Coverred under TEL00145CR,SCHEME,Not in use
MC,TEL0P1457S,ET,Clearing - Acquirer,CLEARING,Clearing Acq Dom&Intra Max  BG/CZ/HU/PL,Weekly,Vol Tier (PPT),A,ACQ, EUR ,0.025,Switching,Coverred under TEL00145CS,SCHEME,Not in use
MC,TEL0P1457P,ET,Clearing - Acquirer,CLEARING,Clearing Acq Dom&Intra Micro  BG/CZ/HU/PL,Weekly,Vol Tier (PPT),A,ACQ, EUR ,0.0014,,,,Not in use
MC,TEL0P1457Q,ET,Clearing - Acquirer,CLEARING,Clearing Acq Dom&Intra Mid  BG/CZ/HU/PL,Weekly,Vol Tier (PPT),A,ACQ, EUR ,0.0023,Switching,Coverred under TEL00145CQ,SCHEME,Not in use
MC,TEL001457H,ET,Clearing - Acquirer,CLEARING,Clearing Acq Inter  BG/CZ/HU/PL,Weekly,Per Tx (PPT) ,A,ACQ, EUR ,0.005,Switching,Coverred under TEL00125,SCHEME,Scheme A~
MC,TELMCD125,ET,Clearing - Acquirer,CLEARING,Clearing Acq Inter IT,Weekly,Vol Tier (PPT),A,ACQ, EUR ,0.006,Switching,Coverred under TEL00125,SCHEME,Not in use
MC,TELMCD145CR,ET,Clearing - Acquirer,CLEARING,Clearing Acq Macro Dom&Intra IT,Weekly,Vol Tier (PPT),A,ACQ, EUR ,0.01,Switching,Coverred under TEL00145CR,SCHEME,Not in use
MC,TELMCD145CS,ET,Clearing - Acquirer,CLEARING,Clearing Acq Max Dom&Intra IT,Weekly,Vol Tier (PPT),A,ACQ, EUR ,0.0167,Switching,Coverred under TEL00145CS,SCHEME,Scheme A~
MC,TELMCD145CQ,ET,Clearing - Acquirer,CLEARING,Clearing Acq Mid Dom&Intra IT,0,Vol Tier (PPT),A,ACQ, EUR ,0.0066,,,,Not in use
MC,TELA00145CR,ET,Clearing - Acquirer,CLEARING DISC,Clearing Dom&Intra Macro Discount GB/IE,Weekly,Vol Tier (PPT),A,ACQ, EUR ,-0.0028,Switching,Discount of TEL00145CR,SCHEME,Scheme A~
MC,TELA00145CS,ET,Clearing - Acquirer,CLEARING DISC,Clearing Dom&Intra Max Discount GB/IE,Weekly,Vol Tier (PPT),A,ACQ, EUR ,-0.0045,Switching,Discount of TEL00145CS,SCHEME,Scheme A~
MC,TELA00145CP,ET,Clearing - Acquirer,CLEARING DISC,Clearing Dom&Intra Micro Discount GB/IE,Weekly,Vol Tier (PPT),A,ACQ, EUR ,-0.0012,Switching,Discount of TEL00145CP,SCHEME,Scheme A~
MC,TELA00145CQ,ET,Clearing - Acquirer,CLEARING DISC,Clearing Dom&Intra Mid Discount GB/IE,Weekly,Vol Tier (PPT),A,ACQ, EUR ,-0.0021,Switching,Discount of TEL00145CQ,SCHEME,Scheme A~
MC,TEL00125,ET,Clearing - Acquirer,CLEARING,CLEARING Inter,0,Per Tx (PPT) ,A,ACQ, EUR ,0.005,Switching,,SCHEME,Scheme A~
MC,TELA00125,ET,Clearing - Acquirer,CLEARING DISC,Clearing Inter Discount GB/IE,Weekly,Per Tx (PPT) ,A,ACQ, EUR ,-0.0015,Switching,Discount of TEL00125,SCHEME,Scheme A~
MC,TEL00145CR,ET,Clearing - Acquirer,CLEARING,CLEARING Macro Dom&Intra,0,Vol Tier (PPT),A,ACQ, EUR ,0.0094,Switching,,SCHEME,Scheme A~
MC,TEL00145CS,ET,Clearing - Acquirer,CLEARING,CLEARING Max Dom&Intra,0,Vol Tier (PPT),A,ACQ, EUR ,0.015,Switching,,SCHEME,Scheme A~
MC,TEL00145CP,ET,Clearing - Acquirer,CLEARING,CLEARING Micro Dom&Intra,0,Vol Tier (PPT),A,ACQ, EUR ,0.001,Switching,,SCHEME,Scheme A~
MC,TEL00145CQ,ET,Clearing - Acquirer,CLEARING,CLEARING Mid Dom&Intra,0,Vol Tier (PPT),A,ACQ, EUR ,0.0071,Switching,,SCHEME,Scheme A~
MC,TELCMD245P,EU,Clearing - Issuer,CLEARING ISS,Clearing Iss Debit Mastercard/Maestro/Cirrus Intra Micro Tier MLT,Weekly,Q,A,ISS,,0,,,,Not in use
MC,TEL00245CR,EU,Clearing - Issuer,CLEARING ISS,Clearing Iss Dom and Intra Macro Tier GBR,0,Q,A,ISS, EUR ,0.013,,,,Ignore
MC,TEL00245CS,EU,Clearing - Issuer,CLEARING ISS,Clearing Iss Dom and Intra Max Tier GBR,0,Q,A,ISS, EUR ,0.0235,,,,Ignore
MC,TEL00225,EU,Clearing - Issuer,CLEARING now,Clearing Iss Inter Tier GBR,0,Vol Tier (PPT),A,ISS, EUR ,0.005,Switching,,,Scheme A~
MC,TEL0A2457R,EU,Clearing - Issuer,CLR ISS,EU CLR-ISS - Clearing Iss ATM Dom and Intra Macro Tier CZE,Weekly,Q,B,ISS, EUR ,0.0045,,,,Not in use
MC,TEL0A2457S,EU,Clearing - Issuer,CLR ISS,EU CLR-ISS - Clearing Iss ATM Dom and Intra Max Tier CZE,Weekly,Q,B,ISS, EUR ,0.0045,,,,Not in use
MC,TEL0A2457P,EU,Clearing - Issuer,CLR ISS,EU CLR-ISS - Clearing Iss ATM Dom and Intra Micro Tier CZE,Weekly,Q,B,ISS, EUR ,0.0045,,,,Not in use
MC,TEL0A2457Q,EU,Clearing - Issuer,CLR ISS,EU CLR-ISS - Clearing Iss ATM Dom and Intra Mid Tier CZE,Weekly,Q,B,ISS, EUR ,0.0045,,,,Not in use
MC,TELCMD245H,EU,Clearing - Issuer,CLR ISS,EU CLR-ISS - Clearing Iss Debit Mastercard/Maestro/Cirrus Inter Tier MLT,Weekly,Q,B,ISS, EUR ,0.007,,,,Not in use
MC,TELCMD245R,EU,Clearing - Issuer,CLR ISS,EU CLR-ISS - Clearing Iss Debit Mastercard/Maestro/Cirrus Intra Macro Tier MLT,0,Q,B,ISS, EUR ,0.0075,,,,Ignore
MC,TELCMD245S,EU,Clearing - Issuer,CLR ISS,EU CLR-ISS - Clearing Iss Debit Mastercard/Maestro/Cirrus Intra Max Tier MLT,0,Q,B,ISS, EUR ,0.0105,,,,Ignore
MC,TELCMD245Q,EU,Clearing - Issuer,CLR ISS,EU CLR-ISS - Clearing Iss Debit Mastercard/Maestro/Cirrus Intra Mid Tier MLT,0,Q,B,ISS, EUR ,0.0053,,,,Ignore
MC,TEL00245CP,EU,Clearing - Issuer,CLR ISS,EU CLR-ISS - Clearing Iss Dom and Intra Micro Tier GBR,0,Q,B,ISS, EUR ,0.0054,,,,Ignore
MC,TEL00245CQ,EU,Clearing - Issuer,CLR ISS,EU CLR-ISS - Clearing Iss Dom and Intra Mid Tier GBR/NLD,0,Q,B,ISS, EUR ,0.007,,,,Ignore
MC,TEL002457H,EU,Clearing - Issuer,CLR ISS,EU CLR-ISS - Clearing Iss Inter Tier CZE,Weekly,Q,B,ISS, EUR ,0.005,,,,Not in use
MC,TELMCC245CR,EU,Clearing - Issuer,CLR ISS,EU CLR-ISS - Clearing Iss Mastercard Credit Dom and Intra Macro Tier DEU,Weekly,Q,B,ISS, EUR ,0.004,,,,Not in use
MC,TELMCC245CS,EU,Clearing - Issuer,CLR ISS,EU CLR-ISS - Clearing Iss Mastercard Credit Dom and Intra Max Tier DEU,Weekly,Q,B,ISS, EUR ,0.0065,,,,Not in use
MC,TELMCC245CP,EU,Clearing - Issuer,CLR ISS,EU CLR-ISS - Clearing Iss Mastercard Credit Dom and Intra Micro Tier DEU,Weekly,Q,B,ISS, EUR ,0.0005,,,,Not in use
MC,TELMCC245CQ,EU,Clearing - Issuer,CLR ISS,EU CLR-ISS - Clearing Iss Mastercard Credit Dom and Intra Mid Tier DEU,Weekly,Q,B,ISS, EUR ,0.002,,,,Not in use
MC,TEL0P2457R,EU,Clearing - Issuer,CLR ISS,EU CLR-ISS - Clearing Iss POS Dom and Intra Macro Tier CZE,Weekly,Q,B,ISS, EUR ,0.0085,,,,Not in use
MC,TEL0P2457S,EU,Clearing - Issuer,CLR ISS,EU CLR-ISS - Clearing Iss POS Dom and Intra Max Tier CZE,Weekly,Q,B,ISS, EUR ,0.03,,,,Not in use
MC,TEL0P2457P,EU,Clearing - Issuer,CLR ISS,EU CLR-ISS - Clearing Iss POS Dom and Intra Micro Tier CZE,Weekly,Q,B,ISS, EUR ,0.0005,,,,Not in use
MC,TEL0P2457Q,EU,Clearing - Issuer,CLR ISS,EU CLR-ISS - Clearing Iss POS Dom and Intra Mid Tier CZE,Weekly,Q,B,ISS, EUR ,0.0023,,,,Not in use
MC,2AB5031,EZ,International Authorization Fees,INT AUTH X-Code,EZ INT AUTH - X-Code Transaction Fee,0,Q,B,ALL, EUR ,0.005,,,,Scheme B~
MC,TF15001P,F1,Issuer Decision Management Services,ISS MANGMT SERV,F1 ISS - Decision Intelligence Fee--Card Not Present,Monthly,Per Tx (%) ,B,ISS, EUR ,0.0002,,,,Not in use
MC,TF15001Q,F1,Issuer Decision Management Services,ISS MANGMT SERV,F1 ISS - Decision Intelligence Fee--Card Not Present,Monthly,Q,B,ISS, EUR ,0.375,,,,Not in use
MC,TF15002P,F1,Issuer Decision Management Services,ISS MANGMT SERV,F1 ISS - Decision Intelligence Fee--Card Present,Monthly,Per Tx (%) ,B,ISS, EUR ,0,,,,Not in use
MC,TF15002Q,F1,Issuer Decision Management Services,ISS MANGMT SERV,F1 ISS - Decision Intelligence Fee--Card Present,Monthly,Q,B,ISS, EUR ,0.0375,,,,Not in use
MC,TF11000,F1,Issuer Decision Management Services,ISS MANGMT SERV,F1 ISS - MasterCard Safety Net Service Fee,Monthly,Q,B,ISS, EUR ,0.2907,,,,Not in use
MC,TF11693,F1,Issuer Decision Management Services,ISS MANGMT SERV,F1 ISS - Prepaid Monitoring Fee,0,Q,B,ISS, EUR ,200,,,,Scheme B~
MC,2MK5050,F9,Funding,STRATEGY FD (new),Strategy Program (Second 150 Members)  Current ID  2EC5050  efft until 28Nov20 New and same as 2F9800,Annual,Vol Tier (PPT),PrincipalOther,ALL, EUR ,"9,000",Scheme,Annual - November fee - Advance Nov-Oct,SCHEME,Not in use
MC,TACQLICVOLE,FA,License,LICNS RCURR,2AQLCMCPOS Recurring License Fee - Acquirer -Based on previous QTLY vol,0,Vol Tier (PPT),B,ACQ, EUR ,"2,700",Scheme,,SCHEME,Scheme A~
MC,2FA0000,FA,License,LICNS RCURR Adjust ACQ&ISS,LICENSE RECUR ACQ Adjustment,Monthly,Vol Tier (PPT),EXCLUDED,ACQ, EUR ,0.01,Scheme,Adjustment of TACQLICVOL,SCHEME,Not in use
MC,TISSLICVOLE,FA,License,LICNS RCURR ISS ,Recurring License Fee-Issuer,0,Vol Tier (PPT),A,ISS, EUR ,"1,700",Scheme,,,Scheme B
MC,2FB1000,FB,Service Provider,Service Pro Reg,Service Provider Registration/Renewal Fee,Annual,Fixed,Pass-through SerReg,ALL, EUR ,"3,500",Scheme,Registration Fee: Investigate which progam and passthrough to partner or CF pay the cost- ,Pass-through,Scheme B
MC,2FM0000,FM,File Maintenance,FILE MAINT Adjust,Adjustment for Service Code FM,Ad Hoc,,TO REVIEW,,,"20,000",,,,Not in use
MC,2FM1620,FM,File Maintenance,ISS FILE LISTING,Authorization File Premium Listing Residency Fee,Weekly,Per Tx (PPT) ,TO REVIEW,ISS, EUR ,0.05,,,,Not in use
MC,2FM000V,FM,File Maintenance,FILE MAINT,FM FILE MAINT - Adjustment for Service Code FM,Weekly,Per Data point,B,ALL, EUR ,100,,,,Adj
MC,2FM1680,FM,File Maintenance,FILE MAINT,FM FILE MAINT - Authorization Secure Bin Set Up Fee,Weekly,Per Data point,B,ALL, EUR ,100,,,,Not in use
MC,2FM1670,FM,File Maintenance,FILE MAINT,FM FILE MAINT - Magnetic Chip Cryptogram Set Up Fee,Weekly,Per Data point,B,ALL, EUR ,"1,000",,,,Not in use
MC,2FM1653,FM,File Maintenance,FILE MAINT,FM FILE MAINT - Stand-In Range Blocking and Custom Rules Residency,0,Per Data point,B,ALL, EUR ,20,,,,Scheme B~
MC,2FM1650,FM,File Maintenance,FILE MAINT,FM FILE MAINT - Stand-In Transaction Limit Parameter Set Up,Weekly,Per Data point,B,ALL, EUR ,500,,,,Not in use
MC,TFM1665,FM,File Maintenance,FILE MAINT,FM FILE MAINT - Transaction Blocking Residency,0,Per Data point,B,ALL, EUR ,5.7143,,,,Scheme B~
MC,2FM1658,FM,File Maintenance,MIP TRX BLOCKING,MIP Transaction Blocking-Full BIN Block-Maintenance,Ad Hoc,Fixed,Implemt-Proj,ISS, EUR ,300,Stand-Alone,Investigate which progam and passthrough or allocate to correct product,,Scheme B~
MC,2FM1642,FO,File Maintenance,FO-NETWK CONNT TEST,File Maintenance-Network Connections Status Echo Test,Weekly,Per Data point,Implemt-Proj,ATM, EUR ,0.005,,Investigate which progam and passthrough or allocate to correct product,,Scheme B~
MC,2FM1611,FO,File Maintenance,FO-SIINGIN PROC TEST,File Maintenance-Sign-In Issuer Processing Fee,Weekly,Per Data point,Implemt-Proj,ATM, EUR ,0.01,,Investigate which progam and passthrough or allocate to correct product,,Scheme B~
MC,2FM1612,FO,File Maintenance,FO-SIGNOUT PROC TEST,File Maintenance-Sign-Out Issuer Processing Fee,Ad Hoc,Per Data point,Implemt-Proj,ATM, EUR ,0.01,,Investigate which progam and passthrough or allocate to correct product,,Scheme B~
MC,2FT14421,FS,File Transmission - Acquirer,CHB FILE TRX,File Transmission Fee Chargebacks,Weekly,Per Data point,Non-Sale,ACQ, EUR ,0,Switching,Chargeback related,NON_SALE_FEES,Scheme B
MC,2FT2001,FS,File Transmission - Acquirer,FILE TRANS,File Transmission Fee First Presentments,0,Per Data point,A,ACQ, EUR ,0,Switching,,SCHEME,Scheme B
MC,2FT6031,FS,File Transmission - Acquirer,CHB FILE TRX COPY,File Transmission Fee Retrieval Request,Ad Hoc,Per Data point,Non-Sale,ACQ, EUR ,0,Switching,Chargeback related,NON_SALE_FEES,Scheme B
MC,2FT12401,FS,File Transmission - Acquirer,CHB FILE TRX RPSNT,File Transmission Fee Second Presentments,Weekly,Per Data point,Non-Sale,ACQ, EUR ,0,Switching,Chargeback related,NON_SALE_FEES,Scheme B
MC,2FT14422,FT,File Transmission - Issuer,CHB FILE MAINT,FT FILE MAINT - File Transmission Fee Chargebacks,Ad Hoc,Per Data point,B,ALL, EUR ,0,,Chargeback related,,Not in use
MC,2FT6962,FT,File Transmission - Issuer,CHB FILE MAINT,FT FILE MAINT - File Transmission Fee Financial Detail Addendum,Ad Hoc,Per Data point,B,ALL, EUR ,0,,Chargeback related,,Non Sales
MC,2FT2002,FT,File Transmission - Issuer,CHB FILE MAINT,FT FILE MAINT - File Transmission Fee First Presentments,Weekly,Per Data point,B,ALL, EUR ,0,,Chargeback related,,Non Sales
MC,2FT17402,FU,File Transmission - Customer,FILE TRANS COLL-Rec,File Transm Fee Collection - Receiver,0,Per Data point,A,ALL, EUR ,0,Switching,,,Scheme B~
MC,2FT6802,FU,File Transmission - Customer,FILE TRANS CURR sum-Rec,File Transm Fee Currency sum - Receiver,0,Per Data point,A,ALL, EUR ,0,Switching,,,Scheme B~
MC,2FT6852,FU,File Transmission - Customer,FILE TRANS FIN-Rec,File Transm Fee File FIN Positon - Receiver,0,Per Data point,A,ALL, EUR ,0,Switching,,,Scheme B~
MC,2FT6972,FU,File Transmission - Customer,FILE TRANS HD-Rec,File Transm Fee File Header - Receiver,0,Per Data point,A,ALL, EUR ,0,Switching,,,Scheme B~
MC,2FT6952,FU,File Transmission - Customer,FILE TRANS HD-Rec,File Transm Fee File Header - Receiver,0,Per Data point,A,ALL, EUR ,0,Switching,,,Scheme B~
MC,2FT6912,FU,File Transmission - Customer,FILE TRANS Except-Rec,File Transm Fee File Mess Excpt - Receiver,0,Per Data point,A,ALL, EUR ,0,Switching,,,Scheme A~
MC,2FT6882,FU,File Transmission - Customer,FILE TRANS Sett-Rec,File Transm Fee Sett - Receiver,0,Per Data point,A,ALL, EUR ,0,Switching,,,Scheme B~
MC,2FT17401,FU,File Transmission - Customer,FILE TRANS COLL-Send,File Transmission Fee Collection - Sender,0,Per Data point,A,ALL, EUR ,0,Switching,,,Scheme B
MC,2FT6402,FU,File Transmission - Customer,FILE TRANS CURR upd-Rec,File Transmission Fee File Currency Update - Receiver,0,Per Data point,A,ALL, EUR ,0,,,,Scheme B~
MC,2GC1030,GF,IPM Acquirer,ATM-PROG SUPPORT,ATM Program Support Fee Maestro/Cirrus,0,Q,B,ATM, USD ,0.25,,,,Ignore
MC,2GC1031,GF,IPM Acquirer,ATM-PROG SUPPORT,ATM Program Support Fee MCC/DMC,0,Q,B,ATM, USD ,0.25,,,,Ignore
MC,2GC1422,GF,IPM Acquirer,DATA ELEMT GCMS ATM,Data Element Fee GCMS ATM -where DE54s2 contain Surcharge info,0,Q,B,ATM, USD ,0.2,,,,Ignore
MC,2GC5532,GH,Global Clearing Acquirer,DE-MCC VOL,ACQ clearing Germany MCC Specific CNP Vol fee AN1481,Weekly,Vol Tier (PPT),A,ACQ, EUR ,  ,Scheme,Coverred under CLEARING (all),SCHEME,Not in use
MC,2GC8025,GH,Global Clearing Acquirer,CURR MATCH CNP,Acquirer Currency Matching Fee - CNP - have CHP equivalent AN2412,0,Per Tx (%) ,A,ACQ, EUR ,0.0005,Stand-Alone,,,Not in use
MC,2GC8015,GH,Global Clearing Acquirer,CURR MATCH CHP,Acquirer Currency Matching Fee - CP have CNP equivalent AN2412,0,Per Tx (%) ,A,ACQ&ATM, EUR ,0.002,,,,Scheme B~
MC,2GC69121FNS,GH,Global Clearing Acquirer,CHB Blocking,Acquirer Ineligible Chargeback Blocking Fees,Ad Hoc,Fixed,Non-Sale Excluded,ACQ, EUR ,3,Stand-Alone,Chargeback related,,Non Sales
MC,2GC1901,GH,Global Clearing Acquirer,CNP,CNP,0,Per Tx (%) ,A,ACQ, EUR ,0.0003,Scheme,AN 1487 ,SCHEME,Scheme A~
MC,2GC1911,GH,Global Clearing Acquirer,CNP-MOTO,CNP-MOTO,0,Per Tx (%) ,A,ACQ, EUR ,0.0003,Scheme,AN 1487 ,SCHEME,Scheme A~
MC,2GC1902,GI,Global Clearing Issuer,ISS CNP,GI GLB CLR ISS - Card Not Present Fee,0,Per Tx (%) ,B,ISS, EUR ,0.0003,,,,Scheme B~
MC,2GC1912,GI,Global Clearing Issuer,ISS MOTO,GI GLB CLR ISS - Mail Order-Telephone Order Fee,0,Per Tx (%) ,B,ISS, EUR ,0.0003,,AN 1487,,Scheme B~
MC,2GS30232A,GS,Global Service,GLB SERV ACC INQR,GS GLB SERV - Account Inquiry,Ad Hoc,Q,B,ALL, EUR ,7.75,,,,Not in use
MC,2GS19002A,GS,Global Service,GLB SERV TELECOM,GS GLB SERV - Telecom Fixed,Ad Hoc,Q,B,ALL, EUR ,2.25,,,,Scheme B~
MC,2GB2001,GY,GY - Global Wholesale Program - Acquirer,GLB WHOLS B2B,Global Wholesale Travel Transaction Program B2B,Weekly,Per Tx (PPT) ,EXCLUDED,ACQ, EUR ,0.0005,Switching,Specific fees not in Cost Matrix - currently low cost,,Scheme A~
MC,2GB2001S,GY,GY - Global Wholesale Program - Acquirer,GLB WHOLS B2B,Global Wholesale Travel Transaction Program B2B - not part of scope,Weekly,Per Tx (PPT) ,EXCLUDED,ACQ, EUR ,0.0055,Scheme,Specific fees not in Cost Matrix - currently low cost,,Scheme A~
MC,2GZ000P,GZ,GCMS Rejects Weekly,GCMS PROCS REJCT Adjust,GCMS Processed Message Reject Fee,Weekly,Vol Tier (PPT),TO REVIEW,ACQ, EUR ,-3,Switching,,,Not in use
